geoid,households_total,households_0_10k,households_10_15k,households_15_20k,households_20_25k,households_25_30k,households_30_35k,households_35_40k,households_40_45k,households_45_50k,households_50_60k,households_60_75k,households_75_100k,households_100_125k,households_125_150k,households_150_200k,households_200k_plus
480270210001,155,10,0,31,10,47,0,6,0,21,9,0,21,0,0,0,0
480270210002,275,38,10,28,24,44,0,7,43,9,9,11,52,0,0,0,0
480270210003,384,48,41,42,29,25,24,0,33,17,35,40,33,0,0,7,10
480270210004,470,27,32,17,30,31,0,25,10,60,86,36,65,41,10,0,0
480270210005,240,11,18,0,30,57,17,24,5,22,26,0,20,10,0,0,0
480270210006,194,28,27,33,8,6,30,4,17,9,17,15,0,0,0,0,0
480270211001,428,95,59,0,13,0,58,15,63,74,25,9,0,0,17,0,0
480270211002,393,0,109,32,44,0,10,0,14,28,9,49,36,43,19,0,0
480270211003,238,12,0,0,32,23,13,50,0,0,27,51,16,0,14,0,0
480270211004,537,73,10,30,29,64,16,36,0,15,95,0,0,77,78,0,14
480270211005,363,0,30,0,74,0,12,48,13,30,36,60,17,43,0,0,0
480270212011,377,30,0,26,34,9,19,0,26,0,51,26,88,39,8,0,21
480270212012,426,32,0,0,0,107,26,33,11,46,54,63,47,7,0,0,0
480270212013,712,44,11,79,35,73,0,11,126,54,36,174,19,22,28,0,0
480270212021,500,15,45,35,19,61,36,80,27,43,21,63,38,8,0,9,0
480270212022,586,18,8,89,19,14,44,18,32,18,92,113,47,40,8,12,14
480270212023,486,13,11,17,32,40,15,10,31,24,14,50,85,29,34,28,53
480270212031,916,24,26,63,17,40,33,88,65,9,96,56,139,81,63,30,86
480270212032,948,66,27,43,63,57,61,84,111,26,142,46,107,17,67,19,12
480270213011,272,0,0,0,8,2,18,6,9,77,50,39,5,36,0,13,9
480270213012,805,32,46,14,35,17,0,34,20,45,100,25,269,38,38,41,51
480270213013,913,81,11,14,95,25,0,35,67,65,101,193,91,43,27,0,65
480270213021,1047,24,37,46,31,81,45,105,15,80,92,55,155,107,72,38,64
480270213022,359,14,14,15,10,0,7,9,8,19,18,64,129,18,0,11,23
480270213031,1969,101,0,24,28,35,30,62,90,87,266,259,314,160,129,158,226
480270213032,718,115,103,110,0,0,26,39,38,14,39,52,126,32,10,14,0
480270213033,308,58,28,27,0,115,49,11,0,0,0,0,20,0,0,0,0
480270214001,508,2,24,30,6,26,10,30,20,28,28,48,83,44,57,21,51
480270214002,486,66,9,11,43,26,0,9,22,10,7,74,78,100,24,7,0
480270214003,441,30,28,17,68,27,43,20,14,22,38,19,52,30,16,8,9
480270215001,602,71,30,34,19,89,147,18,22,0,34,15,34,64,25,0,0
480270215002,583,26,73,0,44,36,8,0,93,12,70,5,156,22,23,15,0
480270215003,940,58,64,27,43,0,37,26,0,16,67,28,114,171,192,57,40
480270216011,440,16,40,27,12,18,13,18,8,37,52,67,60,29,8,35,0
480270216012,260,39,28,18,38,0,0,0,15,22,15,34,17,34,0,0,0
480270216013,282,56,9,0,36,0,9,29,16,19,8,71,9,11,9,0,0
480270216014,530,82,54,86,12,61,0,0,0,62,53,29,63,13,8,0,7
480270216015,390,37,0,29,13,21,21,19,0,18,43,16,58,31,19,54,11
480270216021,420,54,21,15,12,51,23,4,5,1,23,31,85,64,0,9,22
480270217001,2133,163,129,108,42,69,95,35,121,293,304,106,203,144,142,63,116
480270217002,941,44,0,42,22,59,13,28,0,14,184,58,169,115,84,39,70
480270217003,250,13,0,12,0,20,14,0,38,33,29,0,77,14,0,0,0
480270217004,483,39,16,15,27,14,0,17,12,0,26,28,80,40,95,26,48
480270218001,1123,73,48,27,66,87,54,12,30,11,37,180,151,91,93,60,103
480270218002,1438,131,17,111,62,61,108,80,88,23,119,300,229,39,20,34,16
480270218003,296,15,0,13,10,0,32,13,65,22,41,0,42,34,0,0,9
480270219011,306,0,0,6,9,21,0,0,20,23,86,42,42,8,43,6,0
